no		aptName		address_full	address_si (city)	address_gu	address_dong	address_detail	address_street	address_streetno									towers	units	contractor	developer	date_approval																					x	y	date_applied	year_approval	aptName_keys	gu_key	gu_trans	dong_key	dong_trans	streetname_key	streetname_trans	prompt_setup	result
20721	A10025850	헬리오시티아파트	아파트	서울특별시 송파구 송파대로 345	서울	송파구	가락동		송파대로	345	24038330	24088736			임대+분양	위탁관리	혼합식	지역난방	84	9510	현대건설삼성물산현대산업개발	가락시영아파트주택재건축정비사업조합	2018-12-28 0:00:00	971190	734781	969877	2854	5132	1500		heliocity.com	2019-01-03 7:03:23	2022-09-02 1:35:17		위탁	종합계약	위탁	61631.59	12096	의무	2019-01-04 15:32:37	Y	N	127.1024974	37.49760987	2019-01-03 7:03:23	2018	헬리오 시티	송파	소나무 언덕	가락	가히 살만한 땅	송파	소나무 언덕	헬리오 시티 아파트는 서울시 송파구 가락동 송파대로에, 그러니까 소나무 언덕에 위치한, 가히 살만한 땅이자 소나무 언덕에 자리하고 있다.	\'소나무언덕\'을 썼습니다만 사실은 그보다 훨씬 전부터 써온 글입니다...(소설 제목으로도 사용했음) -------------------------------- [서울] 헬리오스시티아파트 (1편~4편까지 연재 중), 솔바람길 산책기 1탄- 소나무동산에서 만난 사람들 2 탄-솔숲 아래서 3 편-나그네와 아이들의 만남 4편-우리집 이야기 5편-소나무 동산 6편의 마지막회 입니다~~!!^^ <제2장> 나 그네 \"너네 아빠가 여기 이사 오셨다고?\" 엄마랑 내 앞에선 고개조차 들지 못하던 녀석들이 어느새 자기 집 앞마당 마냥 활개치며 놀기에 정신 없었다. \"응! 우리아빠야..근데 너흰 누구니?? 너희 혹시 아빤 어디 가셨어???\" 녀석들에게 말해주긴 했지만 내심 걱정되어 물어도 봤는데 대답 대신 우쭐거리기만 한다. 그래봤자 다 알면서 하는 거짓말일테니까.... 하지만 난 안다. 저녀석들에겐 진실된 모습이란게 존재할 수 없이 그저 거짓말로 자신만의 세계 속에서 살아가리라는 것을.... 그래서 더 마음 아프다는 걸...
21921	A10025263	고덕 그라시움 아파트	아파트	서울특별시 강동구 고덕로 333	서울	강동구	고덕동		고덕로	333	24429265	24429264			임대+분양	위탁관리	계단식	지역난방	53	4932	대우건설 SK건설 현대건설	고덕주공2단지 주택재건축	2019-09-27 0:00:00	811620	367196	504199	1964	2598	365		gdgm.aptner.com	2019-10-09 7:14:21	2022-09-02 2:27:20		위탁	종합계약	위탁	0	0	의무	2019-10-09 7:14:21	Y	N	127.1591762	37.55617968	2019-10-09 7:14:21	2019	고덕 그라시움	강동	강의 동쪽	고덕	덕이 높은 곳	고덕	덕이 높은 곳	고덕 그라시움 아파트는 서울시 강동구 고덕동 고덕로에, 그러니까 강의 동쪽에 위치한, 덕이 높은 곳에 자리하고 있다.	\"강동쪽에서 가장 좋아하실 만한 집으로 소개해 드리겠습니다\" 안녕하세요? 오늘도 행복하시길 바랍니다! ^^* 제가 살던 동네를 떠나서 처음 이사온 이곳 강동구의 중심부인 강동의 랜드마크라고 할 수있는 \'그라시아\'라는 복합문화공간입니다!! 여기엔 각종 문화행사와 전시들이 열리는데요~ 그중 저에게 의미있게 다가온건 바로바로~~ <강동아트센터> 입니다!!!^^ 아트홀 건물 외관부터 예사롭지 않죠??ᄒᄋᄉᄃ ᄏᄀᄅ... 예술회관 앞 광장인데요.. 날씨만 따뜻하면 이렇게 야외공연들 많이 하더라구요 ^^ 그리고 이번주 토요일(11월 13일) 오후 7시에 진행되었다는 뮤지컬<그날들 - 그날들의 기억 > 공연 포스터예요!!!!! 오.... 이런걸 보면 진짜 우리나라에도 참 멋진 아티스트분들이 많으신것 같아요 ᅲᅮ (감동받았어요...흐흑..) 아참!!! 그리하여 전 지금까지 쭈욱~~~~살아왔지만 저희집 주변 환경상 문화예술쪽으론 전혀 관심없구요 ;;;
6901	A10027817	DMC파크뷰자이아파트	아파트	서울특별시 서대문구 가재울미래로 2	서울	서대문구	남가좌동	DMC파크뷰자이아파트 1단지 통합사무소	가재울미래로	2	29318360	29318356			임대+분양	위탁관리	혼합식	지역난방	61	4300	현대산업개발 SK건설 GS건설	가재울4구역 재건축조합	2015-10-26 0:00:00	712875	344843	412539	1231	2522	423				2022-09-12 14:44:06	91610329061	위탁	종합계약	위탁	39613	5823	의무	2018-10-29 12:17:26	Y	N	126.9226559	37.5738971	2016-06-27 11:22:12	2015	DMC 파크뷰 자이	서대문	서대문 주변	남가좌	가장자리 마을의 남쪽	가재울미래	가장자리 마을의 남쪽	DMC 파크뷰 자이 아파트는 서울시 서대문구 남가좌동 가재울미래로에, 그러니까 서대문 주변에 위치한, 가장자리 마을의 남쪽이자 가장자리 마을의 남쪽에 자리하고 있다.	#1 그대가 바라는 이상향은 무엇입니까? 가좌역 7번 출구에서 나와 약 10분 정도 걸으면 나오게 된다 바로 옆으로 난 큰길만 건너면 되기때문이다 나야 뭐.. 지하철 타고 다니니 그렇지 않지만...ᄏᄒ~^^;; 하지만 여기서 중요하다고 할 수있는건 그게 아니다! 내가 살고싶어할만큼 좋아하는가족들도 모두 행복해 하는지를 묻는다 그리고 집까지 얼마나 걸리나 물어보는데 보통 2시간정도 걸린다고 한다 그러면 평균적으론 1시쯤엔 도착해야 그나마 좀 여유롭다는 이야기인데.... 늦으면 거의 3시에 온다더라 ᅲᅮ 그래서 오늘 아침 9시경 부랴부랴 준비해서 출발했는데도 불구하고 5시가 다되서야 겨우 도착했던 것같았다 (참고사항) 근데 생각보다 더 일찍와서 놀랐었음 ᄋ0< 이제부터 사진 투척 시작!! - 아파트 입구와 공원 모습- 저 멀리 보이는 높다란 건물들이 전부 \'연세대\'임 ^^; 정말이지 서울 한복판이라고 보기에 너무 예쁜 동네였당 :)
40030	A10025010	고덕 아르테온 아파트	아파트	서울특별시 강동구 고덕로 360	서울	강동구	상일동		고덕로	360	24270997	24270998			임대+분양	위탁관리	계단식	지역난방	41	4066	현대건설.대림산업	고덕3단지아파트주택재건축정비사업조합	2020-02-26 0:00:00	671682	320038	430316	1220	2676	170		gartheon.xisnd.co.kr/	2020-03-10 7:05:53	2022-09-02 2:33:13	92021943971	위탁	종합계약	위탁	34162.97	6405	의무	2020-02-26 0:00:00	Y	N	127.1685346	37.5550952	2020-03-10 7:05:53	2020	고덕 아르테온	강동	강의 동쪽	상일	게 있는 개울의 위쪽	고덕	덕이 높은 곳	고덕 아르테온 아파트는 서울시 강동구 상일동 고덕로에, 그러니까 강의 동쪽에 위치한, 게 있는 개울의 위쪽이자 덕이 높은 곳에 자리하고 있다.	소설을 읽었습니다 (저자 김숨)가 출간되어 화제입니다! 책 제목에서 알 수 있듯이 \'강동구\'라는 지역적 특성으로 인해 서울 사람들에게 낯설게 느껴지는 장소들이 작가만의 독특하면서도 섬세한 문체와 표현력 덕분인지 이야기 속 배경처럼 친근함마저 느껴집니다~ [출판사 서평] \"나 여기 살아\"라고 말할 때 우리 곁엔 누가 살까요? 나도 모르던 나의 모습 발견하기 내 주변 어딘가에도 이런 동네가 존재할까 싶지만 실제로 만나기란 쉽지 않죠.. 그렇다면 지금부터라도 조금씩 그 풍경 안으로 들어가 보면 어떨까요?! <소설>속 공간 중 하나였다가 이제는 마을 주민들의 삶터 또는 도시재생의 상징적인 의미로서 변화된 길동 골목길이 그곳인데요... 이곳에선 어떤 일들이 벌어지는지 함께 들여다볼까요?? 이번 작품 《우리 집 구석구석》(김숨 지음/문학동네 펴냄 / 2016년 1월 20일 발행 예정), 그리고 같은 출판사의 전작《나의 아름다운 정원》까지 두 권 모두 제6회 문학동네청소년문학상 대상 수상작이기도 한데요....
4821	A12175203	마포래미안푸르지오	아파트	서울특별시 마포구 마포대로 195	서울	마포구	아현동	마포대로	마포대로	195	23629804	23629852			임대+분양	위탁관리	혼합식	개별난방	51	3885	삼성물산대우건설	아현제3구역주택재개발정비사업조합	2014-09-26 0:00:00	588070	286156	380437	1902	1458	499				2022-09-12 14:48:59		위탁	종합계약	위탁	30656	4580	의무	2014-12-22 13:14:38	Y	N	126.9542913	37.552355	2014-12-22 10:55:51	2014	마포 래미안 푸르지오	마포	삼베 포구	아현	작은 고개	마포	삼베 포구	마포 래미안 푸르지오 아파트는 서울시 마포구 아현동 마포대로에, 그러니까 삼베 포구에 위치한, 작은 고개이자 삼베 포구에 자리하고 있다.	\"아파트라는 것은 우리에게 참 포근하지요? 그래서 그런지 나도 모르게 늘 그곳에서 살고 싶다는 생각들어요...\" 그렇듯 그 아이가 자라며 꿈꾸며 살아갈 곳으로 삼아온 \'서울\'이란 도시와 서울 사람들이 얼마나 좋을까! 그런데 그런 삶터인 바로 여기서 벌어지던 일이다(물론 그것만이 아니라 다른 여러 가지 사건이나 사고 등 때문이기도 하겠지만). 내가 이곳에 처음 오기 전까지 말해주었듯이, 지금 현재 이 지역 일대 재개발사업 관련하여 구청 등이 주민들의 의견 수렴 없이 일방적 추진 의지를 보이면서 문제투성이에다 많아야 다섯 가구 정도 거주할 수밖에 없어 조용하기 이를 데없으며 교통 역시 상습정체구간이라 그야말로 난리통 속에서 하루하루 살아가야만 했는데.... 그리고 무엇보다 가장 큰 이유 중의 하나로서 저번에 어느 날인가 갑자기 철거 용역 깡패 비슷무리 한 놈이 들이닥쳐서 여자아이 둘이랑 남자애 두 명쯤 되어야 할 어린 세 명의 어머니 아버지뻘되시는가족한테 쇠파이프랑 각목 몽둥이 같은 걸로 마구 두들겨 패더니 어디론가 끌고가 버렸다던가
17895	A10027207	래미안힐스테이트 고덕	아파트	서울특별시 강동구 아리수로50길 50	서울	강동구	고덕동	생활지원센터	아리수로50길	50	24818729	24818732			임대+분양	위탁관리	계단식	지역난방	51	3658	삼성 현대	고덕시영아파트 주택재건축사업조합	2016-12-29 0:00:00	673476	289808	396458	1074	2105	472		rhgd.aptner.com/v2	2017-04-18 5:55:51	2022-09-02 2:26:16	91711936281	위탁	종합계약	위탁	0	0	의무	2019-05-29 18:30:03	Y	N	127.1509018	37.55912083	2017-04-18 5:55:51	2016	래미안 힐스테이트 고덕	강동	강의 동쪽	고덕	덕이 높은 곳	아리수	한강변	래미안 힐스테이트 고덕 아파트는 서울시 강동구 고덕동 아리수로50길에, 그러니까 강의 동쪽에 위치한, 덕이 높은 곳이자 한강변에 자리하고 있다.	 1. 강동의 랜드마크! 최고층 49 층으로 우뚝 솟았습니다 2. 강일구의 새로운 중심지로 떠오르고 있어요 3. 한강을 마주 보고 미래가치가 풍부합니다 4. 단지 내에서도 공원 조망권 확보되었지요 5. 우수 학군 및 학원가가 형성 되어서 아이들 키우기 좋아요 6. 초역세권의 교통 환경입니다 7. 공원조망뿐만 아니라 학교까지 도보로 통학 가능해요 8. 지하철 9호선 연장 호재와 서울~세종 간 고속도로 개통 예정입니다(현재 공사 중) 9. 또한 인근 둔촌주공의 재건축 사업 진행 중입니다 10. 삼성엔지니어링 등 대기업 입주하였거나 계획 중이에요 11. 강동첨단 업무 단지 착공했어요 12. 인근 명일동 일대 개발 활발해서 거주환경 개선된답니다 13. 미래투자 가치 확실한 지역이랍니다 14. 서울 외곽 순환고속도로 상일로 구간 연결됩니다 15. 올림픽대로, 중부고속도로 진입 편리해집니다 16. 편리해진 대중교통망 17. 뛰어난 자연환경 18. 풍부한 생활 인프라 19. 명문 교육 시설 20. 높아질 집값 21. 넓어지게 될 녹지 공간 22. 개발될 주변 부동산 23. 좋아지려면 시간 필요 24. 자연친화적인 삶
40049	A10024872	목동 센트럴 아이파크위브 아파트	아파트	서울특별시 양천구 남부순환로83길 18	서울	양천구	신월동		남부순환로83길	18	226998011	226998019			임대+분양	위탁관리	혼합식	개별난방	35	3045	HDC현대산업개발 두산건설(주)	조합	2020-05-28 0:00:00	431149	208642	284324	1528	1497	20		https://movill.net/08066	2020-06-09 10:54:39	2022-09-12 17:25:20		위탁	종합계약	위탁	111387.6	3476	의무	2020-10-23 17:54:53	Y	N	126.843516	37.516804	2020-10-23 17:42:20	2020	목동 센트럴 아이파크 위브	양천	볕이 드는 개울	신월	신선한 반달 모양의 마을	남부순환	남부순환로 주변	목동 센트럴 아이파크 위브 아파트는 서울시 양천구 신월동 남부순환로83길에, 그러니까 볕이 드는 개울에 위치한, 신선한 반달 모양의 마을이자 남부순환로 주변에 자리하고 있다.	\"나만의 작은 숲에서 마음껏 뛰어 놀아요\" [신정동 목동센트럴아이파크위브아파트] \'숲세권\'으로 불리며 인기 높은 서울 신축 분양단지들[리얼캐스트=취재팀/사진-조문식기자]서울 서남부에 속하지만 비교적 교통편이 좋지 않았던 이곳도 최근 들어 분위기 변화를 보이고 있습니다. 우선 지하철 9호선 등촌역과 가양역 사이(양천향교 역)와 인접해있어 강남 접근성까지 개선됐죠. 또 인근 올림픽대로 및 강변북로 진입도 수월합니다. 여기서 끝일까요? 아닙니다! 바로 한강 조망인데요~ 여의도공원 2배 규모의 녹지공간 조성 계획 발표 이후 주목받기 시작했는데요. 특히 단지 내 조경 면적만 3천여m2 이상 확보하면서 더욱 관심도가 상승 중입니다. 이런 이유로 현재 청약 경쟁률 또한 최고치를 기록 중인데... 그 현장 지금 만나보시겠습니다^^ ◆ 공급규모 지하 5층 ~ 지상 30층 총 6개동 전용면적 59∼84제곱미터형 580세대 일반분양분 △59Am3 43가구△74B
6320	A13003007	래미안위브	아파트	서울특별시 동대문구 답십리로 130	서울	동대문구	답십리동	래미안위브아파트	답십리로	130	222498682	222498684			임대+분양	위탁관리	혼합식	개별난방	32	2652	삼성물산두산건설	주택조합	2014-10-13 0:00:00	404825	209210	273847	993	1232	339		www.raemianweve.com		2022-09-12 6:37:29		위탁	종합계약	위탁	25732.69	3169	의무	2019-06-05 15:39:06	Y	N	127.05237	37.57285189	2015-08-21 13:21:01	2014	래미안 위브	동대문	동대문 주변	답십리	도성으로 부터 10리 떨어진 곳	답십리	도성으로 부터 10리 떨어진 곳	래미안 위브 아파트는 서울시 동대문구 답십리동 답십리로에, 그러니까 동대문 주변에 위치한, 도성으로 부터 10리 떨어진 곳에 자리하고 있다.	안현미 作 \'답십리의 봄\' 을 읽었습니다. 시인은 남편을 잃게 되어 슬픔속에서도 희망이란 단어가 주였던 시절 그 절망 속에도 밝음만 가득하다고 긍정적인 생각들을 표현했지만 저에게 다가온 것 역시 부정적일 수 밖엔 없군요... 하지만 그래도 아직까지 삶 자체를 포기해야 할 정도라 여기진 않았기에 지금 현재 살고있는 이곳 서울에선 더 이상 못살겠다는 마음보다는 좀더 살아보고 싶단 욕망이 강하기 때문입니다.. 내 마음속 작은 방 한칸 마련해서 행복해 하며 말이지요.... --------------------- [원본 메세지] ------------------ \"엄마!\" 아이들이 부르면 엄마는 뒤돌아 보아야 한다. 그러나 오늘 아침 등교길 버스 정류장 앞 인도 바닥위에 떨어져 나뒹구러진 하얀 조약돌 하나 주워 들고는 또 다시 돌아다보지 안는다 그저 아무런 대꾸없이 손에다 꼭 쥐고서 학교 교문쪽으로 사라지고야 만다 마치 나의 대답 따위 이젠 듣지도 중요치도 않는다는 듯이 그리고서 난 집앞 좁다란 골목길 가파른 계단 길옆 한쪽 구석지에 쭈그리고 앉아서 교복 치마 주머니 안쪽 깊숙히 찔러 넣어진 오른손 검지
4842	A15701007	강서힐스테이트아파트	아파트	서울특별시 강서구 우현로 67	서울	강서구	화곡동	1025-33	우현로	67	226045234	226040234			분양	위탁관리	계단식	지역난방	37	2603	현대건설	화곡3주구주택재건축정비사업조합	2015-08-19 0:00:00	506394	253959	327243	530	1086	843		강서힐스테이트.apti.co.kr		2022-09-12 18:09:41		위탁	종합계약	위탁	26264	4023	의무	2018-02-12 13:45:40	Y	N	126.8368532	37.5460793	2015-01-07 15:15:33	2015	강서 힐스테이트	강서	강의 서쪽	화곡	벼짓는 골짜기	우현	비가 내리는 고개	강서 힐스테이트 아파트는 서울시 강서구 화곡동 우현로에, 그러니까 강의 서쪽에 위치한, 벼짓는 골짜기이자 비가 내리는 고개에 자리하고 있다.	강서힐즈아파트 - 최은영 작가와의 첫 만남을 소개한다. 나에게 \'최은영의 문학\'이란? \"모든 작품들이 다 소중하지만요...\"라는 말 다음으로 하게 되면 좋겠다는 생각이다. 어떤 문장에서 시작되었는지도 정확히 기억나지 않지만 아마 이런 것들이지 싶은데.... 그것부터 이야기하자면 내 안에도 조금씩 그 모습 그대로 들어앉아있는 하나만 꼽으라면 단연코 이것일 거라고 감히 장담할 수 없을까 한다. 하지만 단언컨대 다른 건 몰라도 이건 꼭 짚어야겠다! 라고 한다면 바로 이거란 말씀!! 왜냐고 물으신다면 딱히 답해야 할 의무나 이유 같은 게 내겐 하등없으니까!!! <그녀의 빛> 은 2007년 한국일보문학상 수상작품이기도 하다. 그리고 지난 6월 23(금)~25(일요일까지 3일간 서울 코엑스 D홀에서 열린 제3회 젊은가계포럼 2014 에서 강연자로 나선 소설가 김연수씨로부터 극찬받았던 책이라 더욱 기억하기 쉽기도 했다는 후문 :) #1 소설 속 인물들의 마음이나 행동 혹은 대화 등 모든 요소와 디테일 하나하나 신경써서 쓴 글이라고 느껴졌어요.
40057	A10024831	녹번역e편한세상캐슬	아파트	서울특별시 은평구 은평로 220	서울	은평구	응암동		은평로	220	23898560	23898562			임대+분양	위탁관리	혼합식	기타	32	2569	대림산업 롯데건설	응암제2구역주택재개발조합	2021-05-27 0:00:00	368169	170569	235133	1687	794	88		nbecastle.aptner.com	2020-07-03 7:53:04	2022-09-12 13:01:11	92022859891	위탁	종합계약	위탁	21886	2974	의무	2020-05-19 0:00:00	Y	N	126.932044	37.599269	2020-05-19 0:00:00	2021	녹번역 e편한세상 캐슬	은평	은혜와 평화의 땅	응암	송골매 형상의 바위가 있는 곳	은평	은혜와 평화의 땅	녹번역 e편한세상 캐슬 아파트는 서울시 은평구 응암동 은평로에, 그러니까 은혜와 평화의 땅에 위치한, 송골매 형상의 바위가 있는 곳이자 은혜와 평화의 땅에 자리하고 있다.	꿈을 이뤄라!은평뉴타운역에서 도보 5분 거리(약 350m)로 대중교통 접근성과 생활편의시설 이용성이 우수하며 녹번초등학교 및 은명중학교 등 학교 시설도 인접합니다 서울 서북부 최대 규모 브랜드타운으로 총 4천여 가구 대단지입니다 단지 앞 버스정류장까지 걸어서 약 2~3분만 걸으면 지하철 3호선 불광역이나 공항철도 연신내역 이용이 가능할 정도 접근성 좋습니다 북한산 조망권 확보돼 쾌적성도 높고 주변 시세보다 저렴한데다 대형 건설사 시공이라 안정성 갖춰 투자가치 충분한 것 같아요 \"아파트 분양가가 인근 지역 시세대비 합리적인 수준\"이라며 평당 1천만원대 초반부터 시작한다네요 또 중도금 60% 무이자 혜택 제공한다고 하니 더 말 할 필요없겠죠? 궁금하시면 아래 전화번호 클릭해서 상담받아보세요 02-357 -1117 모델하우스 방문예약 필수 입니다 오늘 안내드릴곳 바로 여기인데요 정말 사진만 봐도 힐링되지 않나요?? 이런 집...갖고파요 ᅲᅮ
